id,sennum,review
E91-1051.txt,38,Thirdly_comma_ the approach cannot be extended to the case discussed here.
E91-1051.txt,39,In this paper we focus on the alternative proposal_comma_ in which head switching or alternatively_comma_ splitting is a x operation.
E91-1051.txt,40,1 Adverbs are taken to be f structure SADJs.
E91-1051.txt,41,The z annotation to ADVP states that the x of the mother fstructure is the XCOMP of the of the SADJ I Notice that a third possibility_comma_ not discussed in Kaplan el al 1989 _comma_ involving a flat f structure but treating the adverb as a semantic head at s structure_comma_ simply means that the mapping problem we describe below arises in the monolinsual mapping between f structure and s structure. slot Kaplan et al s fig. 26 2 3 S NP ADVP VP t SUB 3  t SADJ  t SADr XCOMP  t This has the effect of subordinating the translation of the f structure which contains the SADJ to the translation of the SADJ itself.
E91-1051.txt,42,The lexical entries themselves contribute further z equations following Kaplan et al s fig. 21 4 arrive V t PRED arrive SUBJ x t PRED FN arriver c t SUBJ   1 SUBJ just ADV PRED just  t PRED Ft_comma_0 venir john N PILED john x t PRED FN jean This is unproblernatic for examples such as 2a_comma_ b .
E91-1051.txt,44,The English structure_comma_ and lex2 Note that here and subsequently_comma_ following Kaplan et al_comma_ we ignore the monolingual potential for more than one ADVP with its attendant problems for translation.
E91-1051.txt,47,It does not give a correct translation of the source string.
E91-1051.txt,48,In this section we have shown that the proposal as outlined in Kaplan et al 1989 does not produce an adequate analysis of these cases_comma_ The problem_comma_ which is not at first apparent_comma_ arises from the combination of the regular and irregular equations from the emphasised lines.
E91-1051.txt,49,Note that there is no problem stating this correspondence in the French English direction see below .
E91-1051.txt,51,In this section we will briefly consider a number of alternatives.
E91-1051.txt,52,3 To facilitate discussion_comma_ it is worth noting that the proposal in Kaplan et al 1989 involves basically three elements 11a a set of regular equations constraining both source and target  t SUB   t sum llb a set of regular equations assigning target PRED values  t PRED 9 sere form llc a special equation on ADVP constraining both source and target  I SADJ XCOMP  t The problem noted above arises from the combination of an equation from a with the equation c .
E91-1051.txt,54,The first alternative we considered involves maintaining equations of type a so that T f3 is indeed  fl COMe _comma_ and then switching heads only rather than whole constructions .
E91-1051.txt,55,The basic idea is that the annotations to ADVP provide a PRED value for xD and specify that the of the PRED of t3 is the PRED in f3 XCOMP .
E91-1051.txt,56,To do this_comma_ the PRED value must be made into a complex feature_comma_ and heavy use is made of equations on the cstructure rules_comma_ so that the mapping is essentially structurally determined.
E91-1051.txt,57,3 These alternat ves have been ex ored by usin 8 at Essex an implementation of PArR due to Bob Carpenter_comma_ and at Edinburgh a ve on of MicroPATR.
E91-1051.txt,58,295 Intuitively_comma_ the approach works by building target constructions without assigning them PRED values directly_comma_ then specifying the target PRED values in such a way that it is possible to switch the heads for the eases in question..LP In fact_comma_ though this works for cases such as 2c_comma_d_comma_e _comma_ it is limited to cases in which it is correct to raise all the dependents of a predicate to the same slot in the construction headed by the translation of the adverb.
E91-1051.txt,59,It thus fails with 12a in which races must remain a dependent of the embedded construction_comma_ and 12b in which the same is true of Jean 12a Peter zwemt gruag wedstrijden.
E91-1051.txt,60,Peter likes to swim races.
E91-1051.txt,61,12b I said that John will probably come.
E91-1051.txt,62,J ai dit qu il est probable que Jean viendra.
E91-1051.txt,63,This is of course an immediate consequence of the fact that the proposal works by switching not constructions but heads..SH Section 2.2.
E91-1051.txt,64,It is clear from the above that any solution must achieve constructional integrity in translation.
E91-1051.txt,65,This idea can be achieved in a number of slightly different ways.
E91-1051.txt,66,In the following we exploit the path equation variables available in LFG_comma_ which permit one to use a value assigned elsewhere as an attribute that is_comma_ our proposal here is modelled on the use of 1  PCASE  in LFG.
