id,sennum,review
E06-1019.txt,211,The error rates for the three dependency based methods are similar no one method provides much more guidance than the other.
E06-1019.txt,212,Enforcing head constraints produces only a small improvement over the D ITG.
E06-1019.txt,213,Assuming our beam search is approximating a complete search_comma_ these results also indicate that D ITG space and dependency space have very similar properties with respect to alignment.
E06-1019.txt,214,4.4 Oracle objective function Anytime welimit an alignment space_comma_ werisk ruling out correct alignments.
E06-1019.txt,215,We now test the expressiveness of an alignment space according to the best alignments that can be found there when given an oracle link score.
E06-1019.txt,216,This is similar to the experiments in Fox_comma_ 2002 _comma_ but instead of countingcrossings_comma_ wecount howmanylinksamaximal alignment misses when confined to the space.
E06-1019.txt,217,We create a tailored flink for each sentence pair_comma_ based on the gold standard alignment for that pair.
E06-1019.txt,218,Gold standard links are broken up into twocategories in Och and Ney s evaluation framework 2003 .
E06-1019.txt,219,S links are used when the annotators agree and are certain_comma_ while P links are meant to handle ambiguity.
E06-1019.txt,220,Since only S links are used to calculate recall_comma_ we define our flink to mirror the S links in the gold standard flink a_comma_E_comma_F   1 if a is an S in E_comma_F 0 if a is a link to null 1 otherwise Table 2 shows the results of maximizing summed flink values in our various alignment spaces.
E06-1019.txt,221,The two imperfect permutation searches were left out_comma_ as they are simply approximating maximum matching.
E06-1019.txt,222,The precision column was left out_comma_ as it is trivially 100 in all cases.
E06-1019.txt,223,A new column has been added to count missed links.
E06-1019.txt,224,Maximum matching sets the upper bound for this task_comma_ with a recall of 96.4.
E06-1019.txt,225,It does not achieve perfect recall due to the one to one constraint.
E06-1019.txt,226,Note that its error rate is not a lower bound on the AER of a one to one aligner_comma_ as systems can score better by including P links.
E06-1019.txt,227,Of the constrained systems_comma_ ITG fairs the best_comma_ showing only a tiny reduction in recall_comma_ due to 3 missed links throughout the entire test set.
E06-1019.txt,228,Considering the non trivial amount of guidance provided by the ITG in Section 4.3_comma_ this small drop in 151 Table 2 Results with the perfect link score.
E06-1019.txt,229,Method Rec Missed F AER Dep 94.1 260 97.0 3.02 HD ITG 94.2 258 97.0 3.00 D ITG 94.8 232 97.3 2.69 ITG 96.3 165 98.1 1.90 Match 96.4 162 98.1 1.86 expressiveness is quite impressive.
E06-1019.txt,230,For the most part_comma_ the ITG constraints appear to rule out only incorrect alignments.
E06-1019.txt,231,The D ITG has the next highest recall_comma_ doing noticeably better than the two other dependencybased searches_comma_ but worse than the ITG.
E06-1019.txt,232,The 1.5 drop in expressiveness may or may not be worth the increased guidance shown in Section 4.3_comma_ depending on the task.
E06-1019.txt,233,It may be surprising to see DITG outperforming Dep_comma_ as the alignment space of Dep is larger than that of D ITG.
E06-1019.txt,234,The heuristic nature of Dep s search means that its alignment space is only partially explored.
E06-1019.txt,235,The HD ITG makes 26 fewer correct links than the D ITG_comma_ each corresponding to a single missed link in a different sentence pair.
E06-1019.txt,236,These misses occur in cases where two modifiers switch position with respect to their head during translation.
E06-1019.txt,237,Surprisingly_comma_ there are regularly occurring_comma_ systematic constructs that violate the head constraints.
E06-1019.txt,238,Anexample of such a construct is when an English noun has both adjective and noun modifiers.
E06-1019.txt,239,Cases like Canadian WheatBoard aretranslated as_comma_ Board Canadian of Wheat _comma_ switching the modifiers relative positions.
E06-1019.txt,240,These switches correspond to discontinuous constituents Melamed_comma_ 2003 in general bitext parsing.
E06-1019.txt,241,The D ITGcan handle discontinuities by freely grouping constituents to create continuity_comma_ but the HD ITG_comma_ with its fixed head and modifiers_comma_ cannot.
E06-1019.txt,242,Given that the HD ITG provides only slightly more guidance than the DITG_comma_ we recommend that this type of head information be included only as a soft constraint.
E06-1019.txt,243,5 Conclusion We have presented two new alignment spaces based on adependency treeprovided forone ofthe sentences in a sentence pair.
E06-1019.txt,244,We have given grammars to conduct a perfect search of these spaces using an ITG parser.
E06-1019.txt,245,The grammars derive exactly one structure for each alignment.
E06-1019.txt,246,We have shown that syntactic constraints alone can have a very positive effect on alignment error rate.
E06-1019.txt,247,With a learned objective function_comma_ ITG constraints reduce maximum matching s error rate by 10 _comma_ while D ITG constraints produce a 31 reduction.
E06-1019.txt,248,This gap in error rate demonstrates that a dependency tree over the English sentence can be a very powerful tool when making alignment decisions.
E06-1019.txt,249,We have also shown that while dependency constraints might limit alignment expressiveness too much for some tasks_comma_ enforcing ITG constraints results in almost no reduction in achievable recall. .
E06-2014.txt,1,problem we address in this paper is that of providing contextual examples of translation equivalents for words from the general lexicon using comparable corpora and semantic annotation that is uniform for the source and target languages. For a sentence_comma_ phrase or a query expression in the source language the tool detects the semantictypeofthesituationinquestionand gives examples of similar contexts from the target language corpus.
